month,year,monthSSTmn
Jan,2019,28.5
Feb,2019,26
Mar,2019,27
Apr,2019,28
May,2019,29
Jun,2019,29.5
Jul,2019,28.5
Aug,2019,28.5
Sep,2019,29
Oct,2019,29.5
Nov,2019,29
Dec,2019,28.5
Jan,2020,27.5
Feb,2020,27
Mar,2020,27.5
Apr,2020,28.5
May,2020,29.5
Jun,2020,30
Jul,2020,29
Aug,2020,29
Sep,2020,29.5
Oct,2020,29
Nov,2020,29
Dec,2020,28.5
Jan,2021,28.5
Feb,2021,28
Mar,2021,28
Apr,2021,28.5
May,2021,29
Jun,2021,29.5
Jul,2021,29.5
Aug,2021,29.5
Sep,2021,29.5
Oct,2021,29.5
Nov,2021,29.5
Dec,2021,28
Jan,2022,27.5
Feb,2022,27.5
Mar,2022,28
Apr,2022,28.5
May,2022,29
Jun,2022,29.5
Jul,2022,29.5
Aug,2022,29.5
